"Sample_ID","JD","JD2","TSSR","TSSR2","BCR"
"mnbba:T101R32a:2011-05-28T11:25:0Z:43.5772088996842:-94.634575042926",0.402739726027397,0.162199286920623,0.0294149355286801,0.000865238432156409,11
"mnbba:T101R32a:2011-05-28T11:40:0Z:43.5840217951291:-94.6343771460191",0.402739726027397,0.162199286920623,0.0398479851418071,0.00158786191986168,11
"mnbba:T101R33a:2011-05-28T12:10:0Z:43.5604403163456:-94.7543146369444",0.402739726027397,0.162199286920623,0.0602935244805283,0.00363530909428407,11
"mnbba:T101R33a:2011-05-28T12:23:0Z:43.5691121485201:-94.7542487550277",0.402739726027397,0.162199286920623,0.0693416262362842,0.00480826112909254,11
"mnbba:T101R33a:2011-05-28T12:41:0Z:43.5736553079518:-94.7759646739484",0.402739726027397,0.162199286920623,0.0817918863947745,0.00668991268001569,11
"mnbba:T101R34a:2011-05-28T13:0:0Z:43.5531909754189:-94.8742289099663",0.402739726027397,0.162199286920623,0.0946659713597209,0.0089616461334795,11
"mnbba:T101R34a:2011-05-28T13:15:0Z:43.577254329626:-94.8546145859535",0.402739726027397,0.162199286920623,0.105192987750526,0.0110655646718823,11
"mnbba:T101R34a:2011-05-28T13:43:0Z:43.5864092958168:-94.8546148369599",0.402739726027397,0.162199286920623,0.124658709220864,0.015539793784612,11
"mnbba:T101R35a:2010-06-16T13:55:0Z:43.5725013302477:-95.0146037890354",0.454794520547945,0.206838055920435,0.136671596398508,0.0186791252621167,11
"mnbba:T101R35a:2010-06-16T14:10:0Z:43.5665203595269:-95.0147387009299",0.454794520547945,0.206838055920435,0.147072350490424,0.0216302762787782,11
"mnbba:T101R35a:2010-06-16T14:23:0Z:43.5491875925676:-94.9745107329094",0.454794520547945,0.206838055920435,0.156166869145301,0.0243880910186455,11
"mnbba:T101R36a:2010-06-16T12:58:0Z:43.5876064865845:-95.1489242396845",0.454794520547945,0.206838055920435,0.0967543988536905,0.00936141369753903,11
"mnbba:T101R36a:2010-06-16T13:15:0Z:43.571201612241:-95.1350096785699",0.454794520547945,0.206838055920435,0.108555971712426,0.011784398994429,11
"mnbba:T101R36a:2010-06-16T13:27:0Z:43.5680343176388:-95.1343943025887",0.454794520547945,0.206838055920435,0.11688278619338,0.0136615857083273,11
"mnbba:T101R37a:2010-06-22T13:45:0Z:43.58768622908:-95.2730562539403",0.471232876712329,0.222060424094577,0.128439881647075,0.0164968031975146,11
"mnbba:T101R37a:2010-06-22T14:17:0Z:43.5616100580688:-95.2352276419841",0.471232876712329,0.222060424094577,0.150699106002295,0.0227102205498911,11
"mnbba:T101R37a:2010-06-22T14:7:0Z:43.5877573822035:-95.2626663109722",0.471232876712329,0.222060424094577,0.143746711305446,0.0206631170111313,11
"mnbba:T101R38a:2010-06-22T12:45:0Z:43.5726454913539:-95.362929010972",0.471232876712329,0.222060424094577,0.0864842384722498,0.00747952350412497,11
"mnbba:T101R38a:2010-06-22T13:20:0Z:43.5581935493591:-95.3607915050161",0.471232876712329,0.222060424094577,0.110758007091505,0.0122673361348818,11
"mnbba:T101R38a:2010-06-22T13:3:0Z:43.5581834826237:-95.3704109939801",0.471232876712329,0.222060424094577,0.0989256998179135,0.00978629408446394,11
"mnbba:T101R39a:2010-06-22T11:35:0Z:43.5869284702736:-95.4899806759879",0.471232876712329,0.222060424094577,0.037557451410426,0.00141056215644651,11
