"Sample_ID","JD","TSSR"
"bam-mn_m:MNBBA:T101R37a:3:10:2010-6-22T9:17:00Z",172,-1.27375808967484
"bam-mn_m:MNBBA:T101R38a:1:10:2010-6-22T8:3:00Z",172,-2.50709142300818
"bam-mn_m:MNBBA:T101R38a:2:10:2010-6-22T8:20:00Z",172,-2.22375808967484
"bam-mn_m:MNBBA:T101R38a:3:10:2010-6-22T7:45:00Z",172,-2.80709142300818
"bam-mn_m:MNBBA:T101R39a:1:10:2010-6-22T6:55:00Z",172,-3.64042475634151
"bam-mn_m:MNBBA:T101R39a:2:10:2010-6-22T6:35:00Z",172,-3.97375808967484
"bam-mn_m:MNBBA:T101R39a:3:10:2010-6-22T7:20:00Z",172,-3.22375808967484
"bam-mn_m:MNBBA:T101R40a:1:10:2010-6-22T5:52:00Z",172,-4.69042475634151
"bam-mn_m:MNBBA:T101R40a:2:10:2010-6-22T6:10:00Z",172,-4.39042475634151
"bam-mn_m:MNBBA:T101R40a:3:10:2010-6-22T5:35:00Z",172,-4.97375808967484
"bam-mn_m:MNBBA:T101R41a:1:11:2011-6-1T8:15:00Z",151,-2.36352714134587
"bam-mn_m:MNBBA:T101R41a:2:11:2011-6-1T8:30:00Z",151,-2.11352714134587
"bam-mn_m:MNBBA:T101R41a:3:11:2011-6-1T8:0:00Z",151,-2.61352714134587
"bam-mn_m:MNBBA:T101R42a:1:11:2011-6-1T7:20:00Z",151,-3.2204481376542
"bam-mn_m:MNBBA:T101R42a:2:11:2011-6-1T7:5:00Z",151,-3.53019380801254
"bam-mn_m:MNBBA:T101R42a:3:11:2011-6-1T7:38:00Z",151,-2.98019380801254
"bam-mn_m:MNBBA:T101R43a:1:11:2011-5-29T9:10:00Z",148,-1.41625293585989
"bam-mn_m:MNBBA:T101R43a:2:11:2011-5-29T8:55:00Z",148,-1.66625293585989
"bam-mn_m:MNBBA:T101R43a:3:11:2011-5-29T9:30:00Z",148,-1.08291960252656
"bam-mn_m:MNBBA:T101R44a:1:11:2011-5-28T9:2:00Z",147,-1.56048287901613
"bam-mn_m:MNBBA:T101R44a:2:11:2011-5-28T8:45:00Z",147,-1.84381621234947
"bam-mn_m:MNBBA:T101R44a:3:11:2011-5-28T9:20:00Z",147,-1.26048287901613
"bam-mn_m:MNBBA:T101R45a:1:11:2011-5-28T8:17:00Z",147,-2.31048287901613
"bam-mn_m:MNBBA:T101R45a:2:11:2011-5-28T7:58:00Z",147,-2.6271495456828
"bam-mn_m:MNBBA:T101R45a:3:11:2011-5-28T7:45:00Z",147,-2.84381621234947
"bam-mn_m:MNBBA:T101R46a:1:11:2011-5-28T6:35:00Z",147,-4.01048287901613
"bam-mn_m:MNBBA:T101R46a:2:11:2011-5-28T6:50:00Z",147,-3.76048287901613
"bam-mn_m:MNBBA:T101R46a:3:11:2011-5-28T7:12:00Z",147,-3.39381621234947
"bam-mn_m:MNBBA:T101R4a:1:09:2009-5-31T7:0:00Z",150,-3.52442464133104
"bam-mn_m:MNBBA:T101R4a:2:09:2009-5-31T7:21:00Z",150,-3.17442464133104
"bam-mn_m:MNBBA:T101R4a:3:09:2009-5-31T7:40:00Z",150,-2.85775797466437
"bam-mn_m:MNBBA:T101R5a:1:09:2009-5-31T8:5:00Z",150,-2.4410913079977
"bam-mn_m:MNBBA:T101R5a:2:09:2009-5-31T8:34:00Z",150,-1.95775797466437
"bam-mn_m:MNBBA:T101R5a:3:09:2009-5-31T8:19:00Z",150,-2.20775797466437
"bam-mn_m:MNBBA:T101R6a:1:09:2009-5-30T8:5:00Z",149,-2.45129473970996
"bam-mn_m:MNBBA:T101R6a:2:09:2009-5-30T7:52:00Z",149,-2.66796140637663
"bam-mn_m:MNBBA:T101R6a:3:09:2009-5-30T8:22:00Z",149,-2.16796140637663
"bam-mn_m:MNBBA:T101R7a:1:09:2009-5-31T9:30:00Z",150,-1.02442464133104
"bam-mn_m:MNBBA:T101R7a:2:09:2009-5-31T9:17:00Z",150,-1.2410913079977
"bam-mn_m:MNBBA:T101R7a:3:09:2009-5-31T9:0:00Z",150,-1.52442464133104
"bam-mn_m:MNBBA:T101R8a:1:09:2009-6-1T8:26:00Z",151,-2.08151886920134
"bam-mn_m:MNBBA:T101R8a:2:09:2009-6-1T8:12:00Z",151,-2.31485220253468
"bam-mn_m:MNBBA:T101R8a:3:09:2009-6-1T8:37:00Z",151,-1.89818553586801
"bam-mn_m:MNBBA:T101R9a:1:09:2009-6-16T7:25:00Z",166,-3.03268065187666
"bam-mn_m:MNBBA:T101R9a:2:09:2009-6-16T7:44:00Z",166,-2.71601398520999
"bam-mn_m:MNBBA:T101R9a:3:09:2009-6-16T8:14:00Z",166,-2.21601398520999
"bam-mn_m:MNBBA:T102R10a:1:09:2009-6-17T8:44:00Z",167,-1.7168952094184
"bam-mn_m:MNBBA:T102R10a:2:09:2009-6-17T8:22:00Z",167,-2.08356187608507
"bam-mn_m:MNBBA:T102R10a:3:09:2009-6-17T8:5:00Z",167,-2.3668952094184
"bam-mn_m:MNBBA:T102R11a:1:11:2011-6-1T5:26:00Z",151,-5.08629537012842
"bam-mn_m:MNBBA:T102R11a:2:11:2011-6-1T5:5:00Z",151,-5.43629537012842
"bam-mn_m:MNBBA:T102R11a:3:11:2011-6-1T5:51:00Z",151,-4.66962870346175
"bam-mn_m:MNBBA:T102R12a:1:11:2011-6-1T8:40:00Z",151,-1.85296203679509
"bam-mn_m:MNBBA:T102R12a:2:11:2011-6-1T8:27:00Z",151,-2.10378147098753
"bam-mn_m:MNBBA:T102R12a:3:11:2011-6-1T8:53:00Z",151,-1.63629537012842
"bam-mn_m:MNBBA:T102R13a:1:11:2011-5-30T9:11:00Z",149,-1.38927804278003
"bam-mn_m:MNBBA:T102R13a:2:11:2011-5-30T8:56:00Z",149,-1.63927804278003
"bam-mn_m:MNBBA:T102R13a:3:11:2011-5-30T9:30:00Z",149,-1.07261137611336
"bam-mn_m:MNBBA:T102R14a:1:11:2011-5-30T8:25:00Z",149,-2.1559447094467
"bam-mn_m:MNBBA:T102R14a:2:11:2011-5-30T8:37:00Z",149,-1.9559447094467
"bam-mn_m:MNBBA:T102R14a:3:11:2011-5-30T8:10:00Z",149,-2.4059447094467
"bam-mn_m:MNBBA:T102R15a:1:11:2011-5-29T9:23:00Z",148,-1.19958626919323
"bam-mn_m:MNBBA:T102R15a:2:11:2011-5-29T9:35:00Z",148,-0.999586269193225
"bam-mn_m:MNBBA:T102R15a:3:11:2011-5-29T8:47:00Z",148,-1.79958626919323
"bam-mn_m:MNBBA:T102R16a:1:11:2011-5-29T9:13:00Z",148,-1.36625293585989
"bam-mn_m:MNBBA:T102R16a:2:11:2011-5-29T9:0:00Z",148,-1.58291960252656
"bam-mn_m:MNBBA:T102R16a:3:11:2011-5-29T9:32:00Z",148,-1.04958626919323
"bam-mn_m:MNBBA:T102R17a:1:11:2011-5-27T5:17:00Z",146,-5.32196204112636
"bam-mn_m:MNBBA:T102R17a:2:11:2011-5-27T5:51:00Z",146,-4.75529537445969
"bam-mn_m:MNBBA:T102R17a:3:11:2011-5-27T6:17:00Z",146,-4.32196204112636
"bam-mn_m:MNBBA:T102R18a:1:11:2011-5-28T8:0:00Z",147,-2.59381621234947
"bam-mn_m:MNBBA:T102R18a:2:11:2011-5-28T8:25:00Z",147,-2.1771495456828
"bam-mn_m:MNBBA:T102R18a:3:11:2011-5-28T8:45:00Z",147,-1.84381621234947
"bam-mn_m:MNBBA:T102R19a:1:11:2011-5-27T9:20:00Z",146,-1.27196204112636
"bam-mn_m:MNBBA:T102R19a:2:11:2011-5-27T9:36:00Z",146,-1.00529537445969
"bam-mn_m:MNBBA:T102R19a:3:11:2011-5-27T9:55:00Z",146,-0.688628707793024
"bam-mn_m:MNBBA:T102R20a:1:11:2011-5-27T5:30:00Z",146,-5.10529537445969
"bam-mn_m:MNBBA:T102R20a:2:11:2011-5-27T6:18:00Z",146,-4.36920124053955
"bam-mn_m:MNBBA:T102R20a:3:11:2011-5-27T5:55:00Z",146,-4.75253457387288
"bam-mn_m:MNBBA:T102R21a:1:11:2011-5-29T5:18:00Z",148,-5.34507597784201
"bam-mn_m:MNBBA:T102R21a:2:11:2011-5-29T5:0:00Z",148,-5.64507597784201
"bam-mn_m:MNBBA:T102R21a:3:11:2011-5-29T5:35:00Z",148,-5.06174264450868
"bam-mn_m:MNBBA:T102R22a:1:11:2011-5-29T6:10:00Z",148,-4.47840931117535
"bam-mn_m:MNBBA:T102R22a:2:11:2011-5-29T6:30:00Z",148,-4.14507597784201
"bam-mn_m:MNBBA:T102R22a:3:11:2011-5-29T6:52:00Z",148,-3.77840931117535
"bam-mn_m:MNBBA:T102R23a:1:10:2010-6-10T7:30:00Z",160,-3.05256414784325
"bam-mn_m:MNBBA:T102R23a:2:10:2010-6-10T7:50:00Z",160,-2.71923081450992
"bam-mn_m:MNBBA:T102R23a:3:10:2010-6-10T8:20:00Z",160,-2.21923081450992
"bam-mn_m:MNBBA:T102R24a:1:10:2010-6-10T5:18:00Z",160,-5.25256414784325
"bam-mn_m:MNBBA:T102R24a:2:10:2010-6-10T6:0:00Z",160,-4.55256414784326
"bam-mn_m:MNBBA:T102R24a:3:10:2010-6-10T5:45:00Z",160,-4.80256414784326
"bam-mn_m:MNBBA:T102R25a:1:10:2010-6-10T8:20:00Z",160,-2.21923081450992
"bam-mn_m:MNBBA:T102R25a:2:10:2010-6-10T8:32:00Z",160,-2.01923081450992
"bam-mn_m:MNBBA:T102R25a:3:10:2010-6-10T8:49:00Z",160,-1.73589748117659
"bam-mn_m:MNBBA:T102R26a:1:10:2010-5-28T6:27:00Z",147,-4.2038186290529
"bam-mn_m:MNBBA:T102R26a:2:10:2010-5-28T6:36:00Z",147,-4.0538186290529
"bam-mn_m:MNBBA:T102R26a:3:10:2010-5-28T6:9:00Z",147,-4.5038186290529
"bam-mn_m:MNBBA:T102R27a:1:10:2010-5-28T5:19:00Z",147,-5.33715196238624
