"Sample_ID","JD","JD2","TSSR","TSSR2","BCR"
"tima:ALA06:2000-09-27T15:2:0Z:37.5932951562:-122.133813694",0.73972602739726,0.547194595608932,0.0423455567147445,0.00179314617348164,32
"tima:ALA06:2000-11-06T15:18:0Z:37.5932951562:-122.133813694",0.849315068493151,0.721336085569525,0.0268523566714591,0.000721049058811257,32
"tima:ALA06:2001-01-05T16:30:0Z:37.5932951562:-122.133813694",0.010958904109589,0.000120097579283168,0.0459127282158092,0.00210797861221876,32
"tima:ALA06:2001-03-20T14:50:0Z:37.5932951562:-122.133813694",0.213698630136986,0.0456671045224245,0.0266018890134162,0.000707660499082116,32
"tima:ALA06:2001-04-26T13:56:0Z:37.5932951562:-122.133813694",0.315068493150685,0.0992681553762432,0.0258319803561877,0.000667291209122469,32
"tima:ALA06:2002-05-30T14:20:0Z:37.5932951562:-122.133813694",0.408219178082192,0.1666428973541,0.0628072210580662,0.0039447470170368,32
"tima:ALA06:2003-04-06T15:56:0Z:37.5932951562:-122.133813694",0.26027397260274,0.0677425408144117,0.0896772479721242,0.00804200880385385,32
"tima:ALA06:2003-05-02T15:55:0Z:37.5932951562:-122.133813694",0.331506849315069,0.109896791142804,0.113015499999402,0.0127725032401148,32
"tima:ALA06:2005-04-14T15:5:0Z:37.5932951562:-122.133813694",0.282191780821918,0.0796322011634453,0.062765307172581,0.00393948378446845,32
"tima:ALA06:2005-05-13T14:17:0Z:37.5932951562:-122.133813694",0.361643835616438,0.13078626383937,0.053065395479401,0.00281593619738523,32
"tima:AUDE01:1999-11-22T19:0:0Z:37.5093763336:-122.097927683",0.89041095890411,0.792831675736536,0.170053320218016,0.0289181317171709,32
"tima:AUDE01:2000-02-02T16:40:0Z:37.5093763336:-122.097927683",0.0876712328767123,0.00768624507412272,0.0614680726246701,0.00377832395219172,32
"tima:AUDE01:2000-04-07T14:17:0Z:37.5093763336:-122.097927683",0.265753424657534,0.0706248827172077,0.0227324230803384,0.000516763059103501,32
"tima:AUDE01:2000-05-12T14:17:0Z:37.5093763336:-122.097927683",0.361643835616438,0.13078626383937,0.0525403090014502,0.00276048406996787,32
"tima:AUDE06:1999-11-22T19:1:0Z:37.5109975698:-122.096540045",0.89041095890411,0.792831675736536,0.170748973699907,0.0291552120195717,32
"tima:AUDE06:2000-02-02T16:40:0Z:37.5109975698:-122.096540045",0.0876712328767123,0.00768624507412272,0.0614697695219958,0.00377853256508729,32
"tima:AUDE06:2000-04-07T14:17:0Z:37.5109975698:-122.096540045",0.265753424657534,0.0706248827172077,0.0227372314601585,0.00051698169447282,32
"tima:AUDE06:2000-05-12T14:17:0Z:37.5109975698:-122.096540045",0.361643835616438,0.13078626383937,0.0525466882865186,0.00276115444988055,32
