"Sample_ID","JD","TSSR"
"grass_m:12UXV14:05:2017-6-10T9:26:00Z:49.120262:-109.388184",160,-1.78213276386261
"grass_m:12UXV14:06:2017-6-10T5:29:00Z:49.174313:-109.372314",160,-5.72677682744132
"grass_m:12UXV14:07:2017-6-10T7:12:00Z:49.176212:-109.48101",160,-4.01720396121343
"grass_m:12UXV14:08:2017-6-10T7:3:00Z:49.18713:-109.481026",160,-4.16633523417844
"grass_m:12UXV14:10:2017-6-10T6:43:00Z:49.177525:-109.413696",160,-4.49594596578015
"grass_m:12UXV14:11:2017-6-10T5:49:00Z:49.174313:-109.3899",160,-5.3946156731579
"grass_m:12UXV14:12:2017-6-10T7:30:00Z:49.159748:-109.456802",160,-3.71690106160111
"grass_m:12UXV14:13:2017-6-10T9:14:00Z:49.119598:-109.379211",160,-1.98158740050263
"grass_m:12UXV14:14:2017-6-10T6:32:00Z:49.173824:-109.419456",160,-4.67995797601011
"grass_m:12UXV14:15:2017-6-10T5:41:00Z:49.17432:-109.382095",160,-5.52742821382152
"grass_m:12UXV14:20:2017-6-10T6:12:00Z:49.171997:-109.412109",160,-5.01294708331426
"grass_m:12UXV14:23:2017-6-10T7:21:00Z:49.172188:-109.474396",160,-3.86708355916871
"grass_m:12UXV14:25:2017-6-10T5:19:00Z:49.174187:-109.358559",160,-5.89253670083152
"grass_m:12UXV14:27:2017-6-10T7:52:00Z:49.170441:-109.480904",160,-3.35098977704843
"grass_m:12UXV14:30:2017-6-10T8:59:00Z:49.119267:-109.360344",160,-2.23035611848036
"grass_m:12UXV23:03:2017-5-29T5:51:00Z:49.092159:-109.278526",148,-5.46808051109314
"grass_m:12UXV23:04:2017-5-29T6:55:00Z:49.03117:-109.278442",148,-4.4058319283194
"grass_m:12UXV23:05:2017-5-29T6:37:00Z:49.041702:-109.278488",148,-4.70507206545936
"grass_m:12UXV23:07:2017-5-29T6:28:00Z:49.046864:-109.278412",148,-4.85469292163849
