"Sample_ID","OD","TSSR","BCR"
"new-england_m:NEWENG:MA:MIMA-13-06:2011:1:2011-06-07TNA:NA:0Z:42.454634:-71.298247",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-07:2006:1:2006-06-21T10:4:0Z:42.453718:-71.295483",171,0.932830852799945,30
"new-england_m:NEWENG:MA:MIMA-13-07:2007:1:2007-06-17T11:56:0Z:42.453718:-71.295483",167,2.80949711461862,30
"new-england_m:NEWENG:MA:MIMA-13-07:2008:1:2008-06-14T9:59:0Z:42.453718:-71.295483",165,0.860618495278888,30
"new-england_m:NEWENG:MA:MIMA-13-07:2009:1:2009-06-13T9:45:0Z:42.453718:-71.295483",163,0.626605458524492,30
"new-england_m:NEWENG:MA:MIMA-13-07:2010:1:2010-06-09TNA:NA:0Z:42.453718:-71.295483",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-13-07:2011:1:2011-06-07TNA:NA:0Z:42.453718:-71.295483",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-01:2006:1:2006-06-21T9:48:0Z:42.5703:-71.321088",171,0.671456911961238,30
"new-england_m:NEWENG:MA:MIMA-14-01:2007:1:2007-06-30T10:45:0Z:42.5703:-71.321088",180,1.57010150452455,30
"new-england_m:NEWENG:MA:MIMA-14-01:2008:1:2008-06-15T9:54:0Z:42.5703:-71.321088",166,0.782356324195862,30
"new-england_m:NEWENG:MA:MIMA-14-01:2009:1:2009-06-07TNA:NA:0Z:42.5703:-71.321088",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-01:2011:1:2011-06-05T10:28:0Z:42.5703:-71.321088",155,1.31982781628768,30
"new-england_m:NEWENG:MA:MIMA-14-02:2006:1:2006-06-21T9:38:0Z:42.456766:-71.318573",171,0.498140558865335,30
"new-england_m:NEWENG:MA:MIMA-14-02:2007:1:2007-06-30T10:21:0Z:42.456766:-71.318573",180,1.16354865908623,30
"new-england_m:NEWENG:MA:MIMA-14-02:2008:1:2008-06-15T10:54:0Z:42.456766:-71.318573",166,1.77574960768223,30
"new-england_m:NEWENG:MA:MIMA-14-02:2009:1:2009-06-07TNA:NA:0Z:42.456766:-71.318573",NA,NA,NA
"new-england_m:NEWENG:MA:MIMA-14-02:2011:1:2011-06-05T10:22:0Z:42.456766:-71.318573",155,1.21352740950055,30
"new-england_m:NEWENG:MA:MIMA-14-03:2006:1:2006-06-21T10:3:0Z:42.454953:-71.319482",171,0.914638000263108,30
