"Sample_ID","OD","TSSR","BCR"
"twedt2020:2-25-2025-13:2014-06-12T10:8:0Z:32.722628:-86.706544",162,-0.506066229343414,27
"twedt2020:2-25-2025-14:2014-06-12T10:8:0Z:32.722087:-86.697995",162,-0.5055195477936,27
"twedt2020:2-25-2025-15:2014-06-12T10:8:0Z:32.721516:-86.689162",162,-0.504955221944385,27
"twedt2020:2-25-2025-16:2014-06-12T10:8:0Z:32.722453:-86.680384",162,-0.504329742590586,27
"twedt2020:2-25-2025-17:2014-06-12T10:8:0Z:32.72301:-86.671708",162,-0.503727396859063,27
"twedt2020:2-25-2025-18:2014-06-12T10:8:0Z:32.722431:-86.663467",162,-0.503202882409096,27
"twedt2020:2-25-2025-19:2014-06-12T10:8:0Z:32.721448:-86.655252",162,-0.502697466346953,27
"twedt2020:2-25-2025-2:2014-06-12T10:8:0Z:32.660165:-86.709657",162,-0.508956526650323,27
"twedt2020:2-25-2025-20:2014-06-12T10:8:0Z:32.7245:-86.647883",162,-0.502075005703502,27
"twedt2020:2-25-2025-21:2014-06-12T10:8:0Z:32.727531:-86.639805",162,-0.501406170328458,27
"twedt2020:2-25-2025-22:2014-06-12T10:8:0Z:32.730788:-86.631904",162,-0.500739408002959,27
"twedt2020:2-25-2025-23:2014-06-12T10:8:0Z:32.733461:-86.623633",162,-0.500073077413771,27
"twedt2020:2-25-2025-24:2014-06-12T10:8:0Z:32.735425:-86.615209",162,-0.499427025649283,27
"twedt2020:2-25-2025-25:2014-06-12T10:8:0Z:32.738999:-86.607711",162,-0.498773468865289,27
"twedt2020:2-25-2025-26:2014-06-12T10:8:0Z:32.741064:-86.59943",162,-0.498132594558928,27
"twedt2020:2-25-2025-27:2014-06-12T10:8:0Z:32.74566:-86.592696",162,-0.497485991650157,27
"twedt2020:2-25-2025-28:2014-06-12T10:8:0Z:32.750846:-86.586644",162,-0.496859451863501,27
"twedt2020:2-25-2025-29:2014-06-12T10:8:0Z:32.756317:-86.580942",162,-0.49624395330747,27
