"Sample_ID","lat.y","lon.y","Shape..","NEAR_FID","NEAR_DIST","TNMFRC","definition","staticOID","Needleleaf_3x3","Needleleaf_5x5","Broadleaf_3x3","Broadleaf_5x5","MixedForest_3x3","MixedForest_5x5","ForestOnly_3x3","ForestOnly_5x5","ForestWetland_3x3","ForestWetland_5x5","Wetland_3x3","Wetland_5x5"
"mnbba:T159R49a:2011-06-18T15:13:0Z:48.6102038789051:-96.9765639500342",48.610204,-96.976564,"Point",63262,1.567816,"4","Local Road",1354,0,0,0,0,3,4,3,4,5,11,2,7
"mnbba:T153R49a:2009-06-20T10:42:0Z:48.106759891023:-96.9333484864135",48.10676,-96.933348,"Point",123013,4.167221,"4","Local Road",3121,0,0,0,2,0,0,0,2,0,2,0,0
"mnbba:T150R49a:2009-06-19T10:48:0Z:47.8310336750826:-96.9120465923077",47.831034,-96.912047,"Point",123478,15.59912,"4","Local Road",6222,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T150R49a:2009-06-19T10:34:0Z:47.827912928631:-96.9110297128829",47.827913,-96.91103,"Point",123478,32.583787,"4","Local Road",5335,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T149R49a:2009-06-16T13:57:0Z:47.7172441868896:-96.902337869953",47.717244,-96.902338,"Point",114113,2.31229,"4","Local Road",3961,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T151R49a:2009-06-19T11:32:0Z:47.8950508964522:-96.912117070536",47.895051,-96.912117,"Point",115497,7.762537,"4","Local Road",1801,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T159R49a:2011-06-18T14:57:0Z:48.6164525082006:-96.9674783000004",48.616453,-96.967478,"Point",62747,0.419657,"4","Local Road",3542,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T151R49a:2009-06-19T11:47:0Z:47.8988036071689:-96.9120043259648",47.898804,-96.912004,"Point",115497,1.344107,"4","Local Road",3521,0,0,0,0,0,0,0,0,0,0,0,0
"mnbba:T151R49a:2009-06-19T12:8:0Z:47.916702729189:-96.9121272197082",47.916703,-96.912127,"Point",116475,0.882177,"4","Local Road",3730,0,0,0,0,0,0,0,0,6,11,6,11
"mnbba:T149R49a:2009-06-16T13:42:0Z:47.7172279683793:-96.8964371073736",47.717228,-96.896437,"Point",124492,1.119603,"4","Local Road",6216,0,0,0,0,0,0,0,0,0,0,0,0
