Sample_ID,roaddist,Coniferous_3x3,Deciduous_3x3,ForestOnly_3x3,ForestWetland_3x3,MixedForest_3x3,Wetland_3x3,Coniferous_5x5,Deciduous_5x5,ForestOnly_5x5,ForestWetland_5x5,MixedForest_5x5,Wetland_5x5
bam-mn_m:MNBBA:T101R31a:3:11:2011-5-28T5:31:00Z,553029.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R32a:1:11:2011-5-28T6:40:00Z,552963.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R32a:2:11:2011-5-28T6:25:00Z,553741.375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R32a:3:11:2011-5-28T6:10:00Z,555620.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R33a:1:11:2011-5-28T7:23:00Z,555798.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R33a:2:11:2011-5-28T7:10:00Z,556752.75,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R33a:3:11:2011-5-28T7:41:00Z,555495,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R34a:1:11:2011-5-28T8:15:00Z,555986.6875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R34a:2:11:2011-5-28T8:43:00Z,554974.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R34a:3:11:2011-5-28T8:0:00Z,558849.875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R35a:1:10:2010-6-16T9:10:00Z,559108.875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R35a:2:10:2010-6-16T8:55:00Z,558455.3125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R35a:3:10:2010-6-16T9:23:00Z,560482.4375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R36a:1:10:2010-6-16T8:15:00Z,560231.9375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R36a:2:10:2010-6-16T8:27:00Z,560582.375,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R36a:3:10:2010-6-16T7:58:00Z,558651,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R37a:1:10:2010-6-22T8:45:00Z,560507.25,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R37a:2:10:2010-6-22T9:7:00Z,560332.5625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R37a:3:10:2010-6-22T9:17:00Z,562749.875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R38a:1:10:2010-6-22T8:3:00Z,565295.5,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R38a:2:10:2010-6-22T8:20:00Z,565149.0625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R38a:3:10:2010-6-22T7:45:00Z,563587.625,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R39a:1:10:2010-6-22T6:55:00Z,564006.125,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R39a:2:10:2010-6-22T6:35:00Z,564250.6875,0,0,0,0,0,0,0,0,0,0,0,0
bam-mn_m:MNBBA:T101R39a:3:10:2010-6-22T7:20:00Z,567237.75,0,0,0,0,0,0,0,0,0,0,0,0
